Book Title,Authors
"Circuits, devices, and systems",Ralph Judson Smith
Lincoln (Narratives of a Golden Age),Gore Vidal
IEE proceedings,Institution of Electrical Engineers
Yellow book,International Telegraph and Telephone Consultative Committee. Plenary Assembly
Electrical engineering,Allan R. Hambley
Electric machines,"S. A. Nasar, Syed A. Nasar, Ion Boldea"
FE Sample Questions & Solutions,National Council of Examiners for Engineering and Surveying (NCEES)
Standard Handbook for Electrical Engineers,"edition 1, 1907: authors many, editor not listed, John M. Carroll, edition 3, 1910: authors many, editor- Frank F. Fowle, edition 4, 1915: authors many, editor- Frank F. Fowle, edition 5, 1922: authors many, editor- Frank F. Fowle"
My inventions,Nikola Tesla
PV and the NEC,"Bill Brooks, Sean White"
Principles and Applications of Electrical Engineering,Giorgio Rizzoni
Illustrated guide to the National Electrical Code,Charles R. Miller
Electric circuits and machines,Eugene C. Lister
Electrical installation designs,Bill Atkinson
Drake's radio cyclopedia,Harold P. Manly
Recent Advances in Computer Science and Information Engineering,Zhihong Qian
Electrical Engineering,Allan R. Hambley
A general theory of institutional change,Shiping Tang
"Modern electric, hybrid electric, and fuel cell vehicles","Mehrdad Ehsani, Yimin Gao, Ali Emadi"
Electricity and electronics,"Dale R. Patrick, Steven W. Fardo, Stephen W. Fardo"
Alternating current fundamentals,"John R. Duff, Stephen L. Herman"
Introduction to electrical installation work,Trevor Linsley
American electricians' handbook,Terrell Croft
Tesla,Margaret Cheney
Principles and practice of electrical engineering,Alexander Gray
Guide to the National electrical code,"Thomas L. Harman, Charles E. Allen"
Marine electrical practice,G. O. Watson
Mixing Audio,Roey Izhaki
Interpreting the National Electrical Code,"Truman C. Surbrook, Truman Surbrook, Jonathon Althouse"
Electricity and electronics,Howard H. Gerrish
A Life of George Westinghouse (Business Biographies),"Henry G. Prout, Prout, Henry Goslee, Henry Goslee Prout"
Mathematics applied to electronics,"James H. Harter, Wallace D. Beitzel"
Electricity for engineers,Charles Desmond
Get Qualified,Kevin Smith
Wybrane problemy elektrotechniki i automatyki,Władysław Hejmo
Elementary Mathematical and Computational Tools for Electrical and Computer Engineers Using MATLAB,Jamal T. Manassah
Introduction to Electrical Science,Adrian Waygood
Engineering Science,W. Bolton
Direct current fundamentals,"Orla E. Loper, Edgar Tedsen"
Newnes electrical pocket book,"E. A. Reeves, Martin Heathcote"
Transformer design principles,Robert M. Del Vecchio
"The inventions, researches and writings of Nikola Tesla",Thomas Commerford Martin
Two-dimensional fields in electrical engineering,Loyal Vivian Bewley
"A dictionary of electrical words, terms and phrases",Edwin J. Houston
The Professional Pilot's Study Guide,Mike Burton
Electrical engineering,"Steven E. Schwarz, William G. Oldham, Schwarz"
Lebenserinnerungen,Werner von Siemens
Electrical safety and the law,"Ken Oldham Smith, John M. Madden"
Child anxiety disorders,Deborah C. Beidel
Basic electricity,United States. Bureau of Naval Personnel.
Electrical Installation Technology,M.L. Lewis
Electrotechnology,David Livingstone Carr
Electricity 2,Thomas S. Kubala
Science abstracts,Institution of Electrical Engineers
Basic mathematics for electricity and electronics,Bertrand B. Singer
"Tudományos ülésszak, 1975. április 14-15",Budapesti Műszaki Egyetem.
Basic circuit theory,Lawrence P. Huelsman
Nanostructured Energy Devices,Juan Bisquert
Audel questions and answers for electrician's examinations,Paul Rosenberg
Intelligent Sensor Networks,"Fei Hu, Qi Hao"
Electrical installation work,Brian Scaddan
Electrical technology,"Hughes, Edward"
Electricity and basic electronics,Stephen R. Matt
Cyclopedia of applied electricity,American Technical Society
Practical problems in mathematics for electricians,"Stephen L. Herman, Stephen Herman"
Biologically inspired robotics,"Yunhui Liu, Dong Sun"
Fundamentals of applied electromagnetics,Fawwaz T. Ulaby
Einführung in die theoretische Elektrotechnik,Karl Küpfmüller
Engineering science,W. Bolton
Industrial power systems,"Shoaib Khan, Sheeba Khan, Ghariani Ahmed"
Advanced Signal Processing,Stergios Stergiopoulos
Festkörperphysik,"H. Ibach, Harald Ibach, Hans Lüth"
Electrical papers,Oliver Heaviside
Electrical engineering,Clarence Victor Christie
Theoretical elements of electrical engineering,Charles Proteus Steinmetz
Electricity,Howard H. Gerrish
Antenna theory and microstrip antennas,D. G. Fang
"Electricity for refrigeration, heating, and air conditioning",Russell E. Smith
Thomas Edison and the lightbulb,Scott R. Welvaert
National electrical code reference book,J. D. Garland
Electrical installation technology,Michael Neidle
L' électricité,Lucien Poincaré
Electrical safety engineering,W. Fordham Cooper
Control Engineering and Information Systems,"Xiaolong Li, Zhijing Liu"
Audel electrical trades pocket manual,L. W. Brittian
Journeyman electrician's review,Richard E. Loyd
Master electrician's review,Richard E. Loyd
Lectures on the electrical properties of materials,L. Solymar
New Developments in Mining Engineering 2015,"Volodymyr Bondarenko, Iryna Kovalevska, Genadiy Pivnyak"
"Foundations and Frontiers in Computer, Communication and Electrical Engineering",Aritra Acharyya
Elements of engineering electromagnetics,Nannapaneni Narayana Rao
Electricity 3,"Walter N. Alerich, Jeff Keljik"
Engineering mathematics,"Tony Croft, Robert Davison, Martin Hargreaves"
National electrical safety code,American National Standards Institute.
End to end adaptive congestion control in TCP/IP networks,Christos N. Houmkozlis
Optimal control,"Zoran Gajić, Myo-Taeg Lim, Dobrila Skataric, Wu-Chung Su, Vojislav Kecman"
Advances in Mechanical and Electronic Engineering,David Jin
Practical MATLAB basics for engineers,Misza Kalechman
Linear control theory,"Aniruddha Datta, Lee H. Keel, Shankar P. Bhattacharyya"
Lyapunov-based control of robotic systems,"Warren Dixon, Aman Behal, Bin Xian, Darren M. Dawson"
Electrical Engineering,Lincoln Jones
Electricity 1,Thomas S. Kubala
Principles of verifiable RTL design,"Lionel Bening, Lionel Bening, Harry D. Foster"
Adaptive Filtering,Paulo S. R. Diniz
Vehicle Propulsion Systems,Lino Guzzella
Radio Frequency Circuit Design,W. Alan Davis
Signals and linear systems,Robert A. Gabel
Principles of electrical engineering,"William Henry Timbie, Vannevar Bush"
Electricity-electronics fundamentals,"Paul B. Zbar, Joseph G. Sloop"
Mezinárodní desetinné třídění,"Ústředí vědeckých, technických a ekonomických informací."
Continuous and discrete signal and system analysis,Clare D. McGillem
Rapid electrical estimating and pricing,C. Kenneth Kolstad
Digital electronics,"James Bignell, Robert Donovan"
Electrical engineering license review,Lincoln D. Jones
Electrical Engineering Fundamentals,S. Bobby Rauf
Charged Particle Optics Theory,Timothy R. Groves
Power System Fundamentals,"Pedro Ponce, Arturo Molina, Luis Miguel Ibarra, Brian MacCleery, Omar Mata"
Electricians' on-Site Companion,Christopher Kitcher
Electrical Engineering for Non-Electrical Engineers,S. Bobby Rauf
Intelligent systems and robotics,"George W. Zobrist, Ho, C. Y., George Zobrist, C Y Ho"
Numerical analysis in electromagnetics,Pierre Saguet
Electrical instruments in hazardous locations,Ernest C. Magison
